#! FIELDS time cv2 metad.bias metad.work
#! SET min_cv2 -pi
#! SET max_cv2 pi
 436.000000 -2.181043 12.869218 21.749860
 437.000000 -2.111845 13.634631 21.799860
 438.000000 -2.051403 14.159561 21.849859
 439.000000 -2.256955 12.037780 21.899859
 440.000000 -1.780380 14.364493 21.949858
 441.000000 -2.224286 12.552523 21.999858
 442.000000 -2.254756 12.188306 22.049858
 443.000000 -2.049155 14.389689 22.099857
 444.000000 -2.493878 8.314698 22.149857
 445.000000 -2.391293 10.170144 22.199856
 446.000000 -1.902804 14.921850 22.249856
 447.000000 -2.361374 10.745692 22.299856
 448.000000 -2.258197 12.395724 22.349855
 449.000000 -2.166251 13.605613 22.399855
 450.000000 -2.347099 11.123981 22.449855
 451.000000 -2.109801 14.251754 22.499854
 452.000000 -2.211833 13.210917 22.549854
 453.000000 -2.184643 13.590949 22.599854
 454.000000 -1.951216 15.188767 22.649853
 455.000000 -2.025472 15.011865 22.699853
 456.000000 -1.870292 15.230049 22.749853
 457.000000 -2.345125 11.417318 22.799853
 458.000000 -2.428068 10.000606 22.849852
 459.000000 -2.104592 14.648779 22.899852
 460.000000 -2.142336 14.352629 22.949852
 461.000000 -2.183408 13.956580 22.999851
 462.000000 -2.233384 13.372018 23.049851
 463.000000 -2.195377 13.913204 23.099851
 464.000000 -2.332392 11.952320 23.149850
 465.000000 -1.781541 15.024115 23.199850
 466.000000 -2.240803 13.438793 23.249849
 467.000000 -2.246072 13.414604 23.299849
 468.000000 -1.982589 15.686720 23.349849
 469.000000 -2.221566 13.840201 23.399848
 470.000000 -2.111768 15.092739 23.449848
 471.000000 -2.134556 14.937689 23.499848
 472.000000 -2.030696 15.715242 23.549847
 473.000000 -2.354238 11.924464 23.599847
 474.000000 -1.859260 15.785274 23.649847
 475.000000 -2.019377 15.888582 23.699846
 476.000000 -1.993270 16.020125 23.749846
 477.000000 -2.277749 13.358651 23.799846
 478.000000 -2.135660 15.242066 23.849845
 479.000000 -1.751812 15.200825 23.899845
 480.000000 -2.013383 16.132813 23.949844
 481.000000 -2.096739 15.710534 23.999844
 482.000000 -2.391845 11.512462 24.049844
 483.000000 -2.262133 13.845617 24.099844
 484.000000 -2.086929 15.913348 24.149843
 485.000000 -2.473943 9.991474 24.199843
 486.000000 -2.184923 15.047065 24.249843
 487.000000 -2.460640 10.351162 24.299842
 488.000000 -1.719639 15.056918 24.349842
 489.000000 -2.051812 16.310738 24.399841
 490.000000 -2.380924 12.035072 24.449841
 491.000000 -2.027947 16.498854 24.499841
 492.000000 -2.084701 16.245349 24.549841
 493.000000 -1.918772 16.678060 24.599841
 494.000000 -1.998477 16.733621 24.649840
 495.000000 -1.992044 16.796302 24.699839
 496.000000 -2.399667 11.850511 24.749839
 497.000000 -2.285700 14.028043 24.799838
 498.000000 -1.999850 16.892458 24.849838
 499.000000 -2.244462 14.774692 24.899837
 500.000000 -2.291015 14.073220 24.949837
 501.000000 -2.218457 15.251844 24.999837
 502.000000 -2.274659 14.446819 25.049837
 503.000000 -2.491492 10.202683 25.099836
 504.000000 -2.527569 9.466066 25.149836
 505.000000 -2.221862 15.374963 25.199835
 506.000000 -2.295624 14.274524 25.249835
 507.000000 -2.405681 12.220341 25.299835
 508.000000 -2.494351 10.368124 25.349834
 509.000000 -2.325916 13.878833 25.399834
 510.000000 -2.616199 7.793947 25.449834
 511.000000 -2.344115 13.627329 25.499833
 512.000000 -2.318878 14.141215 25.549832
 513.000000 -2.339473 13.814292 25.599832
 514.000000 -2.353029 13.607789 25.649832
 515.000000 -2.354842 13.623008 25.699831
 516.000000 -2.416782 12.423015 25.749831
 517.000000 -2.102872 17.098750 25.799830
 518.000000 -2.373482 13.395651 25.849830
 519.000000 -2.327012 14.332606 25.899830
 520.000000 -2.572569 9.135892 25.949830
 521.000000 -2.614891 8.240776 25.999829
 522.000000 -2.559335 9.534027 26.049829
 523.000000 -2.427203 12.518348 26.099828
 524.000000 -2.106606 17.294534 26.149828
 525.000000 -1.746678 16.012232 26.199828
 526.000000 -2.299207 15.085104 26.249828
 527.000000 -2.052153 17.677339 26.299828
 528.000000 -2.239627 16.098093 26.349827
 529.000000 -2.540639 10.174057 26.399827
 530.000000 -2.529010 10.491442 26.449827
 531.000000 -2.183593 16.907382 26.499826
 532.000000 -2.122393 17.504102 26.549826
 533.000000 -1.709956 15.680096 26.599825
 534.000000 -2.207202 16.754895 26.649825
 535.000000 -2.112564 17.695156 26.699824
 536.000000 -2.142252 17.523187 26.749824
 537.000000 -2.299898 15.531578 26.799823
 538.000000 -2.121043 17.781017 26.849823
 539.000000 -2.122324 17.821980 26.899823
 540.000000 -2.269688 16.169298 26.949822
 541.000000 -2.362986 14.535410 26.999822
 542.000000 -2.534444 10.729830 27.049821
 543.000000 -2.439074 13.004265 27.099821
 544.000000 -2.334823 15.225676 27.149821
 545.000000 -2.303510 15.842068 27.199820
 546.000000 -2.459035 12.692952 27.249820
 547.000000 -2.240558 16.919107 27.299820
 548.000000 -2.407501 13.941759 27.349820
 549.000000 -2.356346 15.054595 27.399819
 550.000000 -2.363932 14.953504 27.449819
 551.000000 -2.241875 17.089970 27.499819
 552.000000 -2.491215 12.210475 27.549819
 553.000000 -2.513155 11.732342 27.599818
 554.000000 -2.566928 10.469564 27.649818
 555.000000 -2.568537 10.480161 27.699818
 556.000000 -2.257420 17.064592 27.749818
 557.000000 -2.495983 12.333741 27.799817
 558.000000 -2.220275 17.643042 27.849817
 559.000000 -2.376415 15.115500 27.899817
 560.000000 -2.415119 14.342584 27.949817
 561.000000 -2.278529 16.983563 27.999816
 562.000000 -2.374050 15.311628 28.049816
 563.000000 -2.132220 18.665175 28.099816
 564.000000 -2.553755 11.203130 28.149815
 565.000000 -1.829223 17.745138 28.199814
 566.000000 -2.506166 12.441873 28.249814
 567.000000 -2.401488 14.929492 28.299814
 568.000000 -2.396403 15.088771 28.349813
 569.000000 -2.358292 15.921654 28.399813
 570.000000 -1.978937 19.040486 28.449813
 571.000000 -2.272701 17.492631 28.499812
 572.000000 -2.317582 16.810112 28.549812
 573.000000 -2.542723 11.811724 28.599811
 574.000000 -2.322536 16.813129 28.649811
 575.000000 -2.060703 19.346312 28.699810
 576.000000 -2.388433 15.605998 28.749810
 577.000000 -2.379395 15.846382 28.799809
 578.000000 -2.546338 11.919471 28.849809
 579.000000 -2.632912 9.738751 28.899809
 580.000000 -2.222711 18.534724 28.949808
 581.000000 -2.372310 16.170609 28.999808
 582.000000 -2.551387 11.964290 29.049808
 583.000000 -2.669092 8.979068 29.099808
 584.000000 -2.312179 17.421079 29.149807
 585.000000 -2.725937 7.659635 29.199807
 586.000000 -2.843332 5.146187 29.249807
 587.000000 -2.699782 8.389179 29.299807
 588.000000 -2.530418 12.762447 29.349806
 589.000000 -2.522101 13.023308 29.399806
 590.000000 -2.351601 16.923381 29.449806
 591.000000 -2.499594 13.682746 29.499805
 592.000000 -2.593289 11.330506 29.549805
 593.000000 -2.716386 8.239109 29.599805
 594.000000 -2.705407 8.558881 29.649805
 595.000000 -2.391181 16.342379 29.699805
 596.000000 -2.191847 19.330785 29.749804
 597.000000 -2.176991 19.495624 29.799804
 598.000000 -2.319508 17.824471 29.849803
 599.000000 -2.011111 19.845494 29.899803
 600.000000 -2.095649 19.993691 29.949803
 601.000000 -1.946792 19.573217 29.999803
 602.000000 -2.312352 18.097476 30.049803
 603.000000 -2.355336 17.379909 30.099803
 604.000000 -2.325010 17.982863 30.149802
 605.000000 -2.518755 13.724323 30.199802
 606.000000 -2.339547 17.818433 30.249802
 607.000000 -2.001041 20.095702 30.299801
 608.000000 -2.261760 19.123542 30.349801
 609.000000 -2.106863 20.346795 30.399800
 610.000000 -2.252446 19.338606 30.449800
 611.000000 -2.302924 18.667376 30.499800
 612.000000 -2.329283 18.272260 30.549800
 613.000000 -2.537738 13.516089 30.599799
 614.000000 -2.642027 10.732453 30.649799
 615.000000 -1.934867 19.877887 30.699798
 616.000000 -2.253870 19.565086 30.749798
 617.000000 -2.417668 16.674629 30.799798
