#! FIELDS time cv2 metad.bias metad.work
#! SET min_cv2 -pi
#! SET max_cv2 pi
 313.000000 -2.511947 5.536512 15.599901
 314.000000 -2.773372 3.130228 15.649901
 315.000000 -2.913768 2.193067 15.699901
 316.000000 -2.858718 2.603273 15.749901
 317.000000 -2.732264 3.602851 15.799901
 318.000000 -2.774653 3.314616 15.849900
 319.000000 -2.814120 3.066990 15.899900
 320.000000 -2.773482 3.423360 15.949900
 321.000000 -2.632588 4.660079 15.999899
 322.000000 -2.771535 3.534672 16.049899
 323.000000 -2.944127 2.362324 16.099898
 324.000000 -2.061719 10.328203 16.149898
 325.000000 -2.321759 7.992615 16.199898
 326.000000 -1.730978 10.205980 16.249897
 327.000000 -1.912396 10.946656 16.299897
 328.000000 -1.909834 10.997103 16.349896
 329.000000 -1.669110 9.785183 16.399896
 330.000000 -1.963203 11.012669 16.449896
 331.000000 -1.804090 10.895517 16.499896
 332.000000 -1.629862 9.487195 16.549895
 333.000000 -1.929823 11.204958 16.599895
 334.000000 -1.473043 7.459644 16.649894
 335.000000 -2.133372 10.174211 16.699894
 336.000000 -1.958444 11.264957 16.749894
 337.000000 -2.099899 10.550939 16.799894
 338.000000 -1.684425 10.283647 16.849894
 339.000000 -2.105575 10.579542 16.899894
 340.000000 -1.868931 11.478331 16.949893
 341.000000 -1.639331 9.908435 16.999893
 342.000000 -2.039588 11.168976 17.049892
 343.000000 -1.561655 8.980971 17.099892
 344.000000 -2.120078 10.628111 17.149892
 345.000000 -1.881239 11.703378 17.199891
 346.000000 -2.529098 6.046358 17.249891
 347.000000 -2.176571 10.197967 17.299891
 348.000000 -2.162097 10.395167 17.349891
 349.000000 -1.820856 11.661494 17.399891
 350.000000 -2.496908 6.527897 17.449891
 351.000000 -2.213175 9.968072 17.499890
 352.000000 -1.638371 10.173308 17.549890
 353.000000 -2.111157 11.050366 17.599889
 354.000000 -2.406605 7.734180 17.649889
 355.000000 -1.936800 12.028827 17.699888
 356.000000 -2.018877 11.816889 17.749888
 357.000000 -2.293818 9.244607 17.799888
 358.000000 -2.248073 9.847614 17.849888
 359.000000 -2.305863 9.194920 17.899887
 360.000000 -1.989140 12.103150 17.949887
 361.000000 -1.843627 12.134770 17.999887
 362.000000 -2.002338 12.148385 18.049886
 363.000000 -2.009426 12.167860 18.099886
 364.000000 -2.119333 11.468721 18.149885
 365.000000 -2.461311 7.390694 18.199885
 366.000000 -2.206757 10.661460 18.249885
 367.000000 -2.106973 11.704382 18.299884
 368.000000 -2.038932 12.232574 18.349884
 369.000000 -2.145602 11.452770 18.399884
 370.000000 -2.547058 6.474216 18.449883
 371.000000 -2.074529 12.124721 18.499883
 372.000000 -1.949451 12.694380 18.549882
 373.000000 -1.847287 12.576807 18.599882
 374.000000 -1.675756 11.154637 18.649882
 375.000000 -2.440563 7.951464 18.699882
 376.000000 -2.169547 11.466419 18.749881
 377.000000 -2.537229 6.765310 18.799881
